長毛/短毛	單色/多色	主要顏色	立耳/垂耳	體型	犬種
短毛	單色	米黃色	立耳	小	柴犬
短毛	單色	米黃色	立耳	小	柴犬
短毛	單色	米黃色	立耳	小	柴犬
短毛	單色	黑色	立耳	小	柴犬
短毛	單色	白色	立耳	小	柴犬
短毛	單色	米黃色	立耳	小	柴犬
短毛	單色	米黃色	立耳	小	柴犬
短毛	單色	米黃色	立耳	小	柴犬
短毛	單色	黑色	立耳	小	柴犬
短毛	單色	白色	立耳	小	柴犬
短毛	多色	黑色	垂耳	小	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	小	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	中	米格魯
短毛	多色	黑色	垂耳	中	米格魯
長毛	單色	米黃色	垂耳	大	黃金獵犬
長毛	單色	米黃色	垂耳	大	黃金獵犬
長毛	單色	米黃色	垂耳	大	黃金獵犬
長毛	單色	咖啡色	垂耳	大	黃金獵犬
長毛	單色	咖啡色	垂耳	大	黃金獵犬
長毛	單色	米黃色	垂耳	大	黃金獵犬
長毛	單色	米黃色	垂耳	大	黃金獵犬
長毛	單色	米黃色	垂耳	大	黃金獵犬
長毛	單色	咖啡色	垂耳	大	黃金獵犬
長毛	單色	咖啡色	垂耳	大	黃金獵犬
短毛	單色	米黃色	垂耳	大	拉布拉多
短毛	單色	米黃色	垂耳	大	拉布拉多
短毛	單色	米黃色	垂耳	大	拉布拉多
短毛	單色	咖啡色	垂耳	大	拉布拉多
短毛	單色	黑色	垂耳	大	拉布拉多
短毛	單色	米黃色	垂耳	大	拉布拉多
短毛	單色	米黃色	垂耳	大	拉布拉多
短毛	單色	米黃色	垂耳	大	拉布拉多
短毛	單色	咖啡色	垂耳	大	拉布拉多
短毛	單色	黑色	垂耳	大	拉布拉多
長毛	多色	黑色	垂耳	中	邊境牧羊犬
長毛	多色	米黃色	垂耳	中	邊境牧羊犬
長毛	多色	咖啡色	垂耳	中	邊境牧羊犬
長毛	多色	黑色	立耳	中	邊境牧羊犬
長毛	多色	咖啡色	立耳	大	邊境牧羊犬
長毛	多色	黑色	垂耳	大	邊境牧羊犬
長毛	多色	黑色	垂耳	中	邊境牧羊犬
長毛	多色	黑色	垂耳	中	邊境牧羊犬
長毛	多色	米黃色	立耳	中	邊境牧羊犬
長毛	多色	黑色	立耳	中	邊境牧羊犬
長毛	單色	白色	垂耳	小	玩具貴賓
長毛	單色	米黃色	垂耳	小	玩具貴賓
長毛	單色	咖啡色	垂耳	小	玩具貴賓
長毛	單色	咖啡色	垂耳	小	玩具貴賓
長毛	單色	黑色	垂耳	小	玩具貴賓
長毛	單色	白色	垂耳	小	玩具貴賓
長毛	單色	米黃色	垂耳	小	玩具貴賓
長毛	單色	咖啡色	垂耳	小	玩具貴賓
長毛	單色	咖啡色	垂耳	小	玩具貴賓
長毛	單色	黑色	垂耳	小	玩具貴賓
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	多色	米黃色	立耳	大	秋田犬
短毛	單色	白色	立耳	大	秋田犬
短毛	多色	黑色	立耳	大	秋田犬
短毛	多色	黑色	立耳	大	哈士奇
短毛	多色	黑色	立耳	大	哈士奇
短毛	多色	黑色	立耳	大	哈士奇
短毛	多色	黑色	立耳	大	哈士奇
短毛	多色	黑色	立耳	大	哈士奇
短毛	多色	灰色	立耳	大	哈士奇
短毛	多色	灰色	立耳	大	哈士奇
短毛	多色	米黃色	立耳	大	哈士奇
短毛	多色	咖啡色	立耳	大	哈士奇
短毛	多色	咖啡色	立耳	大	哈士奇
長毛	多色	黑色	垂耳	小	雪納瑞
長毛	多色	黑色	垂耳	小	雪納瑞
長毛	多色	灰色	垂耳	小	雪納瑞
長毛	多色	黑色	垂耳	小	雪納瑞
長毛	多色	黑色	立耳	小	雪納瑞
長毛	多色	黑色	垂耳	小	雪納瑞
長毛	多色	黑色	垂耳	小	雪納瑞
長毛	多色	灰色	垂耳	小	雪納瑞
長毛	多色	白色	垂耳	小	雪納瑞
長毛	多色	灰色	立耳	小	雪納瑞
短毛	多色	黑色	垂耳	小	臘腸犬
短毛	單色	咖啡色	垂耳	小	臘腸犬
短毛	單色	咖啡色	垂耳	小	臘腸犬
長毛	單色	咖啡色	垂耳	小	臘腸犬
長毛	單色	米黃色	垂耳	小	臘腸犬
短毛	單色	米黃色	垂耳	小	臘腸犬
短毛	多色	黑色	垂耳	小	臘腸犬
短毛	多色	黑色	垂耳	小	臘腸犬
長毛	多色	黑色	垂耳	小	臘腸犬
長毛	單色	咖啡色	垂耳	小	臘腸犬
